short_id,config_id,arch_str,depth,width_sum,activation,optimizer,lr,weight_decay,dropout,batch_size,input_noise,momentum,nesterov,alpha,mean_mee,std_mee,mean_train,gen_gap,mean_epochs,min_mee,max_mee,elapsed_sec
C0321,64x32_tanh_adam_lr0.005_wd0.005_do0.1_bs32_ns0.05,64x32,2,96,tanh,adam,0.005,0.005,0.1,32,0.05,,,,23.37358401638332,0.5611928010061078,22.870265847501294,0.503318168882025,39.0,23.037014953979234,24.36678549558696,5.360971927642822
C0634,64x64x32_tanh_nesterov_lr0.005_wd0.001_do0.1_bs32_ns0_momentum0.9_nesterovTrue,64x64x32,3,160,tanh,nesterov,0.005,0.001,0.1,32,0.0,0.9,True,,23.37699870177925,0.43643055850285867,22.478365056537182,0.898633645242068,87.6,22.911744995897237,23.848429673363604,9.352225542068481
C0055,64_tanh_adam_lr0.01_wd0.001_do0_bs32_ns0,64,1,64,tanh,adam,0.01,0.001,0.0,32,0.0,,,,23.380855180764947,0.44244856428365187,22.461072468385453,0.9197827123794937,49.0,23.013516826470862,24.071560188732654,4.3638596534729
C0044,64_relu_adam_lr0.005_wd0.001_do0.2_bs32_ns0.01,64,1,64,relu,adam,0.005,0.001,0.2,32,0.01,,,,23.38495110415252,0.9189759397230962,22.129353787337358,1.2555973168151624,45.0,22.448805848429142,24.856874234496058,4.449247360229492
C0014,64_relu_adam_lr0.01_wd0.005_do0.1_bs32_ns0.01,64,1,64,relu,adam,0.01,0.005,0.1,32,0.01,,,,23.387361032011043,0.8659781327395565,22.344155359800578,1.0432056722104655,40.4,22.15736647109663,24.52532720955086,4.052339553833008
C0300,64x32_tanh_adam_lr0.001_wd0.005_do0_bs32_ns0.05,64x32,2,96,tanh,adam,0.001,0.005,0.0,32,0.05,,,,23.389283808223627,0.5446225263054663,22.45410589787813,0.935177910345498,86.8,22.746537351016187,24.08628378825034,9.77246618270874
C0018,64_relu_adam_lr0.01_wd0.005_do0.2_bs32_ns0.05,64,1,64,relu,adam,0.01,0.005,0.2,32,0.05,,,,23.39243464829142,0.7878513341745842,22.420098059401806,0.9723365888896147,43.0,22.38783073447639,24.382221958775258,4.221581697463989
C0048,64_relu_adam_lr0.005_wd0.005_do0_bs32_ns0.05,64,1,64,relu,adam,0.005,0.005,0.0,32,0.05,,,,23.396863056124506,0.9958729988297571,22.485025236517554,0.9118378196069514,49.0,22.10436095497868,24.54015340383054,4.452252388000488
C0041,64_relu_adam_lr0.005_wd0.001_do0.1_bs32_ns0.01,64,1,64,relu,adam,0.005,0.001,0.1,32,0.01,,,,23.397080202265705,0.8270831451248483,22.38653410482609,1.0105460974396152,34.8,22.336729202590178,24.510567200094,3.723525047302246
C0007,64_relu_adam_lr0.01_wd0.001_do0.2_bs32_ns0,64,1,64,relu,adam,0.01,0.001,0.2,32,0.0,,,,23.399046608737542,1.0585444806766993,22.058894328080108,1.3401522806574349,36.2,21.85674011831998,24.68488616506112,3.6455259323120117
