short_id,config_id,arch_str,depth,width_sum,activation,optimizer,loss_fn,lr,weight_decay,dropout,batch_size,input_noise,momentum,nesterov,alpha,mean_mee,std_mee,mean_train,gen_gap,mean_epochs,min_mee,max_mee,elapsed_sec
C0111,128x128x128_gelu_adam_lr0.02_wd0.001_do0_bs32_ns0_lossmse,128x128x128,3,384,gelu,adam,mse,0.02,0.001,0.0,32,0.0,,,,18.288851401836073,1.9457303445561158,12.805319483422116,5.4835319184139575,101.0,15.95078665558729,21.185400733265826,18.574833154678345
C0157,128x128x128_gelu_adamw_lr0.02_wd0.05_do0_bs32_ns0_lossmse,128x128x128,3,384,gelu,adamw,mse,0.02,0.05,0.0,32,0.0,,,,18.335242046727636,2.2226463073505807,11.650913370008247,6.684328676719389,68.6,15.625925961329699,21.43492482269209,13.732737064361572
C0239,256x128x64_gelu_adamw_lr0.02_wd0.1_do0_bs32_ns0_lossmse,256x128x64,3,448,gelu,adamw,mse,0.02,0.1,0.0,32,0.0,,,,18.479010372727906,1.7908522512735694,13.15284705812264,5.326163314605266,95.0,16.512218572014795,20.37886731589573,18.849773406982422
C0159,128x128x128_gelu_adamw_lr0.02_wd0.1_do0_bs32_ns0_lossmse,128x128x128,3,384,gelu,adamw,mse,0.02,0.1,0.0,32,0.0,,,,18.619403479814217,1.7018978254388228,12.341417434109378,6.277986045704839,91.6,16.2832093383301,20.81234041562803,17.389972686767578
C0101,128x128x128_gelu_adam_lr0.01_wd0.001_do0_bs32_ns0_lossmse,128x128x128,3,384,gelu,adam,mse,0.01,0.001,0.0,32,0.0,,,,18.620914179854744,1.30415772443719,12.944203943326604,5.676710236528139,81.2,17.077260765449672,20.107768064205395,15.61488127708435
C0160,128x128x128_gelu_adamw_lr0.02_wd0.1_do0.1_bs32_ns0_lossmse,128x128x128,3,384,gelu,adamw,mse,0.02,0.1,0.1,32,0.0,,,,18.678005397686906,2.4360540938917747,14.186672526116954,4.491332871569952,110.2,16.607237057088252,21.86100906396699,22.455169677734375
C0079,128x128x64_gelu_adamw_lr0.02_wd0.1_do0_bs32_ns0_lossmse,128x128x64,3,320,gelu,adamw,mse,0.02,0.1,0.0,32,0.0,,,,18.7450117178388,1.798375817281955,13.506378860040778,5.238632857798022,76.8,16.521537552888095,21.40220559388424,15.051174879074097
C0181,256x128x64_gelu_adam_lr0.01_wd0.001_do0_bs32_ns0_lossmse,256x128x64,3,448,gelu,adam,mse,0.01,0.001,0.0,32,0.0,,,,18.874587083787794,1.192604743656916,13.37253363934993,5.502053444437864,80.4,16.998717999987868,20.2591652105909,12.194557666778564
C0150,128x128x128_gelu_adamw_lr0.01_wd0.1_do0.1_bs32_ns0_lossmse,128x128x128,3,384,gelu,adamw,mse,0.01,0.1,0.1,32,0.0,,,,19.04558195065495,0.8592767808724432,13.192123636392129,5.85345831426282,79.0,18.31900525262917,20.15991764372125,18.0067617893219
C0158,128x128x128_gelu_adamw_lr0.02_wd0.05_do0.1_bs32_ns0_lossmse,128x128x128,3,384,gelu,adamw,mse,0.02,0.05,0.1,32,0.0,,,,19.246266741724554,2.302187396140893,14.02890001202353,5.217366729701023,80.8,16.496071207370488,21.856024035282026,17.49552273750305
C0156,128x128x128_gelu_adamw_lr0.02_wd0.01_do0.1_bs32_ns0_lossmse,128x128x128,3,384,gelu,adamw,mse,0.02,0.01,0.1,32,0.0,,,,19.254741121220547,1.263266857994696,12.091485718256427,7.16325540296412,75.4,17.070936345719264,20.300163572434514,16.527769327163696
C0011,128x128x64_gelu_adam_lr0.008_wd0.001_do0_bs32_ns0_lossmse,128x128x64,3,320,gelu,adam,mse,0.008,0.001,0.0,32,0.0,,,,19.26197863739418,1.417038572511154,13.950000918760296,5.311977718633884,68.4,17.003102052911526,20.711304442171986,12.618796348571777
C0155,128x128x128_gelu_adamw_lr0.02_wd0.01_do0_bs32_ns0_lossmse,128x128x128,3,384,gelu,adamw,mse,0.02,0.01,0.0,32,0.0,,,,19.31531686782687,1.4904206230825916,10.531173757433367,8.784143110393503,55.8,17.19993385848976,20.637679810499222,11.889886140823364
C0021,128x128x64_gelu_adam_lr0.01_wd0.001_do0_bs32_ns0_lossmse,128x128x64,3,320,gelu,adam,mse,0.01,0.001,0.0,32,0.0,,,,19.332858241449138,2.031092825374965,14.551840359234268,4.78101788221487,75.2,16.556582325915745,21.480775682435752,13.959712505340576
C0078,128x128x64_gelu_adamw_lr0.02_wd0.05_do0.1_bs32_ns0_lossmse,128x128x64,3,320,gelu,adamw,mse,0.02,0.05,0.1,32,0.0,,,,19.35121492596848,1.056756673290183,14.61895743757437,4.7322574883941115,82.6,17.880451968834056,20.6353560066073,17.607762336730957
C0070,128x128x64_gelu_adamw_lr0.01_wd0.1_do0.1_bs32_ns0_lossmse,128x128x64,3,320,gelu,adamw,mse,0.01,0.1,0.1,32,0.0,,,,19.35484011384826,1.3437005931125463,14.036099568030028,5.318740545818233,82.4,17.171424076961912,20.44094224888011,17.604997396469116
C0171,256x128x64_gelu_adam_lr0.008_wd0.001_do0_bs32_ns0_lossmse,256x128x64,3,448,gelu,adam,mse,0.008,0.001,0.0,32,0.0,,,,19.358741995998344,1.1917607494315705,15.032960271384567,4.325781724613776,67.8,17.5177650044859,20.692189998192728,14.446419954299927
C0161,256x128x64_gelu_adam_lr0.005_wd0.001_do0_bs32_ns0_lossmse,256x128x64,3,448,gelu,adam,mse,0.005,0.001,0.0,32,0.0,,,,19.381262649943167,1.1337056005776875,13.102519561225936,6.278743088717231,75.0,17.674343616738955,20.729150006454542,15.352452278137207
