short_id,config_id,arch_str,depth,width_sum,activation,optimizer,lr,weight_decay,dropout,batch_size,input_noise,momentum,nesterov,alpha,mean_mee,std_mee,mean_train,gen_gap,mean_epochs,min_mee,max_mee,elapsed_sec
C0429,32x16x8_tanh_nesterov_lr0.0005_wd0.001_do0_bs256_ns0_momentum0.9_nesterovTrue,32x16x8,3,56,tanh,nesterov,0.0005,0.001,0.0,256,0.0,0.9,True,,27.37467301562405,0.887290330405527,26.89017587411491,0.48449714150914147,200.4,26.159353115590797,28.20513792725695,6.531083106994629
C0240,32x16_tanh_sgd_lr0.005_wd0.005_do0_bs256_ns0_momentum0.9,32x16,2,48,tanh,sgd,0.005,0.005,0.0,256,0.0,0.9,,,27.38079618582547,1.4613512418993073,27.709576409297085,-0.3287802234716146,33.2,25.702745066950456,29.18496236904347,1.5076420307159424
C0234,32x16_tanh_sgd_lr0.005_wd0.001_do0_bs256_ns0_momentum0.9,32x16,2,48,tanh,sgd,0.005,0.001,0.0,256,0.0,0.9,,,27.39168023885089,1.4591779463031391,27.72036254188847,-0.3286823030375814,33.2,25.713798316873977,29.190756021953792,1.5544445514678955
C0396,32x16x8_tanh_sgd_lr0.0005_wd0.005_do0_bs256_ns0_momentum0.9,32x16x8,3,56,tanh,sgd,0.0005,0.005,0.0,256,0.0,0.9,,,27.538112147435022,1.0192043355269447,27.079034942283716,0.45907720515130634,143.0,26.152287483990204,28.347995413527393,5.326576232910156
C0390,32x16x8_tanh_sgd_lr0.0005_wd0.001_do0_bs256_ns0_momentum0.9,32x16x8,3,56,tanh,sgd,0.0005,0.001,0.0,256,0.0,0.9,,,27.55958113642429,1.01665454170611,27.095616243166212,0.4639648932580762,142.8,26.168053759331713,28.349488663077,5.031184673309326
C0249,32x16_tanh_sgd_lr0.0005_wd0.005_do0_bs128_ns0_momentum0.0,32x16,2,48,tanh,sgd,0.0005,0.005,0.0,128,0.0,0.0,,,27.595890362681054,1.1799167979601504,27.341653642007422,0.25423672067363157,390.6,26.496579091021108,29.320203190225026,12.557776927947998
C0243,32x16_tanh_sgd_lr0.0005_wd0.001_do0_bs128_ns0_momentum0.0,32x16,2,48,tanh,sgd,0.0005,0.001,0.0,128,0.0,0.0,,,27.606377537136172,1.1864329359248347,27.348461496241576,0.25791604089459597,390.0,26.505076248364283,29.33490859768964,13.345716953277588
C0251,32x16_tanh_sgd_lr0.0005_wd0.005_do0_bs256_ns0_momentum0.0,32x16,2,48,tanh,sgd,0.0005,0.005,0.0,256,0.0,0.0,,,27.792205965128254,1.3246249623756554,27.53185449104843,0.2603514740798225,463.6,26.567859020629747,29.860352116256117,13.054241418838501
C0245,32x16_tanh_sgd_lr0.0005_wd0.001_do0_bs256_ns0_momentum0.0,32x16,2,48,tanh,sgd,0.0005,0.001,0.0,256,0.0,0.0,,,27.800665515483825,1.3143513030429164,27.52973077257989,0.27093474290393615,463.6,26.563602855480678,29.867289473244295,14.008333683013916
C0393,32x16x8_tanh_sgd_lr0.0005_wd0.005_do0_bs128_ns0_momentum0.0,32x16x8,3,56,tanh,sgd,0.0005,0.005,0.0,128,0.0,0.0,,,27.93150309546213,1.242447890173246,27.415534829207058,0.5159682662550722,446.6,26.472912325770757,29.832442538195256,15.573507070541382
C0387,32x16x8_tanh_sgd_lr0.0005_wd0.001_do0_bs128_ns0_momentum0.0,32x16x8,3,56,tanh,sgd,0.0005,0.001,0.0,128,0.0,0.0,,,27.95678128909312,1.242880207246288,27.445745759206307,0.5110355298868114,437.0,26.48248368365787,29.84291696381186,15.157459020614624
C0395,32x16x8_tanh_sgd_lr0.0005_wd0.005_do0_bs256_ns0_momentum0.0,32x16x8,3,56,tanh,sgd,0.0005,0.005,0.0,256,0.0,0.0,,,28.30012502929456,1.3822487478872496,27.7983580234011,0.5017670058934591,445.6,26.709426627023998,30.393919915864092,14.040813207626343
C0389,32x16x8_tanh_sgd_lr0.0005_wd0.001_do0_bs256_ns0_momentum0.0,32x16x8,3,56,tanh,sgd,0.0005,0.001,0.0,256,0.0,0.0,,,28.31031637006659,1.3945249319643551,27.807171517179967,0.5031448528866242,446.4,26.716869902082493,30.43181702158747,13.237769603729248
C0351,32x16x8_relu_sgd_lr0.0005_wd0.001_do0_bs128_ns0_momentum0.0,32x16x8,3,56,relu,sgd,0.0005,0.001,0.0,128,0.0,0.0,,,28.61092696080136,1.993960840533093,27.610837498675874,1.0000894621254872,496.0,26.98241983214473,32.006947174192035,16.317999362945557
C0357,32x16x8_relu_sgd_lr0.0005_wd0.005_do0_bs128_ns0_momentum0.0,32x16x8,3,56,relu,sgd,0.0005,0.005,0.0,128,0.0,0.0,,,28.6112676581779,1.9989065947556197,27.614125881795303,0.9971417763825983,494.2,26.98161628539473,32.01602469929247,15.799641609191895
C0359,32x16x8_relu_sgd_lr0.0005_wd0.005_do0_bs256_ns0_momentum0.0,32x16x8,3,56,relu,sgd,0.0005,0.005,0.0,256,0.0,0.0,,,29.249620735407888,2.1186504434502638,28.200760275522363,1.0488604598855247,494.2,27.495002865786518,32.75650066279961,14.635547637939453
C0353,32x16x8_relu_sgd_lr0.0005_wd0.001_do0_bs256_ns0_momentum0.0,32x16x8,3,56,relu,sgd,0.0005,0.001,0.0,256,0.0,0.0,,,29.25030494958388,2.1138588071683495,28.19968721453277,1.0506177350511123,494.8,27.49102273613945,32.74318707304565,15.407568216323853
