short_id,config_id,arch_str,depth,width_sum,activation,optimizer,loss_fn,lr,weight_decay,dropout,batch_size,input_noise,momentum,nesterov,alpha,mean_mee,std_mee,mean_train,gen_gap,mean_epochs,min_mee,max_mee,elapsed_sec
C0032,128x128x64_gelu_adamw_lr0.005_wd0.001_do0_bs32_ns0_lossmee,128x128x64,3,320,gelu,adamw,mee,0.005,0.001,0.0,32,0.0,,,,20.766764048379923,0.8491541722154329,17.125921126281717,3.640842922098205,20.8,19.38289568549118,21.514001090497135,4.860622882843018
C0053,128x128x64_gelu_adamw_lr0.01_wd0.005_do0_bs32_ns0_lossmse,128x128x64,3,320,gelu,adamw,mse,0.01,0.005,0.0,32,0.0,,,,20.767407107351715,0.7431403220878358,17.43960500630544,3.3278021010462737,22.6,19.77602919117836,21.628764087089603,4.928786993026733
C0048,128x128x64_gelu_adamw_lr0.003_wd0.05_do0_bs32_ns0_lossmee,128x128x64,3,320,gelu,adamw,mee,0.003,0.05,0.0,32,0.0,,,,20.773493253172084,0.8674494357866922,16.164036476283265,4.60945677688882,30.4,19.524669476202263,21.523886949845963,6.363375902175903
C0108,256x128x64_gelu_adamw_lr0.003_wd0.05_do0_bs32_ns0_lossmee,256x128x64,3,448,gelu,adamw,mee,0.003,0.05,0.0,32,0.0,,,,20.79870279239708,1.0055980076494555,16.563996190096837,4.234706602300243,24.8,19.545672376957224,21.913154203778262,5.945055246353149
C0098,256x128x64_gelu_adamw_lr0.005_wd0.05_do0_bs32_ns0_lossmee,256x128x64,3,448,gelu,adamw,mee,0.005,0.05,0.0,32,0.0,,,,20.801031195423043,0.8130911050900211,16.73177702863635,4.069254166786692,23.6,19.689975485414728,21.467874430709298,5.82373571395874
C0094,256x128x64_gelu_adamw_lr0.005_wd0.005_do0_bs32_ns0_lossmee,256x128x64,3,448,gelu,adamw,mee,0.005,0.005,0.0,32,0.0,,,,20.83822369041061,0.8661919931785114,15.588324294209324,5.249899396201288,26.4,19.733973206549763,21.721942226086707,6.2157042026519775
C0106,256x128x64_gelu_adamw_lr0.003_wd0.01_do0_bs32_ns0_lossmee,256x128x64,3,448,gelu,adamw,mee,0.003,0.01,0.0,32,0.0,,,,20.84172147189708,0.9979404128725562,16.622040152177952,4.219681319719129,24.4,19.576252766166398,22.041805069152474,5.9508421421051025
C0042,128x128x64_gelu_adamw_lr0.003_wd0.001_do0_bs32_ns0_lossmee,128x128x64,3,320,gelu,adamw,mee,0.003,0.001,0.0,32,0.0,,,,20.857044623673282,0.9147423428930809,16.619845508350515,4.237199115322767,25.8,19.376915078931106,21.584616760273224,5.757079839706421
C0044,128x128x64_gelu_adamw_lr0.003_wd0.005_do0_bs32_ns0_lossmee,128x128x64,3,320,gelu,adamw,mee,0.003,0.005,0.0,32,0.0,,,,20.857875216002203,0.916102355427267,16.63935054844083,4.218524667561372,25.8,19.378502644252233,21.579712600597226,5.721299886703491
C0046,128x128x64_gelu_adamw_lr0.003_wd0.01_do0_bs32_ns0_lossmee,128x128x64,3,320,gelu,adamw,mee,0.003,0.01,0.0,32,0.0,,,,20.86187938143849,0.9174331562971182,16.664224991096205,4.1976543903422865,25.8,19.383290638178607,21.57356945212134,5.687126398086548
