short_id,config_id,arch_str,depth,width_sum,activation,optimizer,loss_fn,lr,weight_decay,dropout,batch_size,input_noise,momentum,nesterov,alpha,mean_mee,std_mee,mean_train,gen_gap,mean_epochs,min_mee,max_mee,elapsed_sec
C0423,256x128x64_elu_adamw_lr0.003_wd0.0001_do0_bs32_ns0_lossmee,256x128x64,3,448,elu,adamw,mee,0.003,0.0001,0.0,32,0.0,,,,21.562502843332158,0.9595445924594005,16.45117110880151,5.111331734530648,49.2,20.096962685655512,22.702176769136248,10.371283054351807
C0041,128x128x64_selu_adam_lr0.001_wd0.001_do0_bs32_ns0_losshuber,128x128x64,3,320,selu,adam,huber,0.001,0.001,0.0,32,0.0,,,,21.564183894272002,0.4154237757408182,18.607983308883103,2.956200585388899,94.8,20.883368970030194,21.911784683686207,12.029803037643433
C0327,256x128x64_selu_adam_lr0.001_wd0.0001_do0_bs32_ns0_lossmee,256x128x64,3,448,selu,adam,mee,0.001,0.0001,0.0,32,0.0,,,,21.5657319657126,0.5831756850231978,17.916144628592633,3.649587337119968,82.2,20.747139739014187,22.270593317633615,15.94702410697937
C0504,256x128x64_elu_nadam_lr0.01_wd0.001_do0_bs32_ns0_lossmee,256x128x64,3,448,elu,nadam,mee,0.01,0.001,0.0,32,0.0,,,,21.56785117241249,0.423919638018582,18.36384928166656,3.2040018907459284,35.4,20.909087764981173,22.046703647013192,8.819696187973022
C0428,256x128x64_elu_adamw_lr0.01_wd0.0001_do0_bs32_ns0_losshuber,256x128x64,3,448,elu,adamw,huber,0.01,0.0001,0.0,32,0.0,,,,21.57293362978645,0.7173484792432349,18.186078128886674,3.3868555008997774,27.2,20.462561647189194,22.37131754091742,6.914064407348633
C0112,128x128x64_selu_adamw_lr0.001_wd0.001_do0_bs32_ns0_lossmse,128x128x64,3,320,selu,adamw,mse,0.001,0.001,0.0,32,0.0,,,,21.573449331823248,0.5484689769578759,18.74892286389535,2.8245264679278996,82.2,20.767420106410462,22.30944827546542,10.771461963653564
C0325,256x128x64_selu_adam_lr0.001_wd0.0001_do0_bs32_ns0_lossmse,256x128x64,3,448,selu,adam,mse,0.001,0.0001,0.0,32,0.0,,,,21.576980200792388,0.5295239741436963,18.516402877722776,3.0605773230696123,79.0,20.876822247555026,22.28926639840048,14.52794361114502
C0211,128x128x64_elu_nadam_lr0.01_wd0.0001_do0_bs32_ns0_lossmse,128x128x64,3,320,elu,nadam,mse,0.01,0.0001,0.0,32,0.0,,,,21.577605440482436,0.408073603471918,18.333389862702674,3.2442155777797623,37.0,21.111405767014922,21.924515409654326,6.8181846141815186
C0431,256x128x64_elu_adamw_lr0.01_wd0.001_do0_bs32_ns0_losshuber,256x128x64,3,448,elu,adamw,huber,0.01,0.001,0.0,32,0.0,,,,21.5785090867339,0.7148985629647808,18.204747651863762,3.3737614348701364,27.2,20.47920930545567,22.385120547734985,6.8163464069366455
C0507,256x128x64_relu_radam_lr0.001_wd0.0001_do0_bs32_ns0_lossmee,256x128x64,3,448,relu,radam,mee,0.001,0.0001,0.0,32,0.0,,,,21.580981210922015,0.4609651139673742,16.44693634926468,5.134044861657337,86.0,21.041814476750762,22.189821621814794,16.147026538848877
